"","site","year","species_name","plant_ID","count","method","stem_cm","trap_area_m2","family","genus","epithet","seed_development_years","pollinator_code","mycorrhiza_type","needleleaf_broadleaf","deciduous_evergreen","seed_maturation_timing","seed_mass_mg","sexual_system","shade_tolerance","growth_form","seed_bank","fleshy_fruit","dispersal_syndrome","fruits_m2","fruits"
"29","AND",1971,"Abies_amabilis","CNCT_01ABAM2",36,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,36
"30","AND",1972,"Abies_amabilis","CNCT_01ABAM2",2,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,2
"31","AND",1974,"Abies_amabilis","CNCT_01ABAM2",36,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,36
"32","AND",1976,"Abies_amabilis","CNCT_01ABAM2",4,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,4
"33","AND",1977,"Abies_amabilis","CNCT_01ABAM2",6,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,6
"34","AND",1978,"Abies_amabilis","CNCT_01ABAM2",28,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,28
"35","AND",1980,"Abies_amabilis","CNCT_01ABAM2",6,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,6
"36","AND",1982,"Abies_amabilis","CNCT_01ABAM2",7,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,7
"37","AND",1985,"Abies_amabilis","CNCT_01ABAM2",11,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,11
"38","AND",1987,"Abies_amabilis","CNCT_01ABAM2",5,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,5
"39","AND",1962,"Abies_amabilis","CNCT_01ABAM3",15,"PARTIALCONECOUNT",68.6,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,15
"40","AND",1964,"Abies_amabilis","CNCT_01ABAM3",11,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,11
"41","AND",1968,"Abies_amabilis","CNCT_01ABAM3",98,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,98
"42","AND",1970,"Abies_amabilis","CNCT_01ABAM3",13,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,13
"43","AND",1971,"Abies_amabilis","CNCT_01ABAM3",3,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,3
"44","AND",1972,"Abies_amabilis","CNCT_01ABAM3",20,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,20
"45","AND",1974,"Abies_amabilis","CNCT_01ABAM3",103,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,103
"46","AND",1976,"Abies_amabilis","CNCT_01ABAM3",7,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,7
"47","AND",1977,"Abies_amabilis","CNCT_01ABAM3",39,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,39
"48","AND",1978,"Abies_amabilis","CNCT_01ABAM3",33,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,33
"49","AND",1979,"Abies_amabilis","CNCT_01ABAM3",13,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,13
"50","AND",1980,"Abies_amabilis","CNCT_01ABAM3",37,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,37
"51","AND",1982,"Abies_amabilis","CNCT_01ABAM3",25,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,25
"52","AND",1985,"Abies_amabilis","CNCT_01ABAM3",130,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,130
"53","AND",1987,"Abies_amabilis","CNCT_01ABAM3",47,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,47
"54","AND",1988,"Abies_amabilis","CNCT_01ABAM3",7,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,7
"55","AND",1993,"Abies_amabilis","CNCT_01ABAM3",15,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,15
"56","AND",1994,"Abies_amabilis","CNCT_01ABAM3",1,"PARTIALCONECOUNT",81.7,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,1
"57","AND",1995,"Abies_amabilis","CNCT_01ABAM3",57,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,57
"58","AND",1996,"Abies_amabilis","CNCT_01ABAM3",4,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,4
"59","AND",1997,"Abies_amabilis","CNCT_01ABAM3",33,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,33
"60","AND",1999,"Abies_amabilis","CNCT_01ABAM3",2,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,2
"61","AND",2000,"Abies_amabilis","CNCT_01ABAM3",12,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,12
"62","AND",2001,"Abies_amabilis","CNCT_01ABAM3",7,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,7
"63","AND",2002,"Abies_amabilis","CNCT_01ABAM3",20,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,20
"64","AND",2003,"Abies_amabilis","CNCT_01ABAM3",18,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,18
"65","AND",2004,"Abies_amabilis","CNCT_01ABAM3",5,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,5
"66","AND",2007,"Abies_amabilis","CNCT_01ABAM3",26,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,26
"67","AND",2009,"Abies_amabilis","CNCT_01ABAM3",35,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,35
"68","AND",2011,"Abies_amabilis","CNCT_01ABAM3",46,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,46
"69","AND",2014,"Abies_amabilis","CNCT_01ABAM3",29,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,29
"70","AND",2016,"Abies_amabilis","CNCT_01ABAM3",15,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,15
"71","AND",2018,"Abies_amabilis","CNCT_01ABAM3",65,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,65
"72","AND",1962,"Abies_amabilis","CNCT_01ABAM4",8,"PARTIALCONECOUNT",86.9,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,8
"73","AND",1965,"Abies_amabilis","CNCT_01ABAM4",6,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,6
"74","AND",1968,"Abies_amabilis","CNCT_01ABAM4",73,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,73
"75","AND",1970,"Abies_amabilis","CNCT_01ABAM4",1,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,1
"76","AND",1971,"Abies_amabilis","CNCT_01ABAM4",33,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,33
"77","AND",1972,"Abies_amabilis","CNCT_01ABAM4",1,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,1
"78","AND",1978,"Abies_amabilis","CNCT_01ABAM4",1,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,1
"79","AND",1980,"Abies_amabilis","CNCT_01ABAM4",2,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,2
"80","AND",1982,"Abies_amabilis","CNCT_01ABAM4",60,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,60
"81","AND",1997,"Abies_amabilis","CNCT_01ABAM4",36,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,36
"82","AND",2000,"Abies_amabilis","CNCT_01ABAM4",27,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,27
"83","AND",2002,"Abies_amabilis","CNCT_01ABAM4",11,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,11
"84","AND",2003,"Abies_amabilis","CNCT_01ABAM4",93,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,93
"85","AND",2007,"Abies_amabilis","CNCT_01ABAM4",40,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,40
"86","AND",2009,"Abies_amabilis","CNCT_01ABAM4",27,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,27
"87","AND",2011,"Abies_amabilis","CNCT_01ABAM4",6,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,6
"88","AND",2016,"Abies_amabilis","CNCT_01ABAM4",20,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,20
"89","AND",1962,"Abies_amabilis","CNCT_01ABAM5",16,"PARTIALCONECOUNT",45.7,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,16
"90","AND",1964,"Abies_amabilis","CNCT_01ABAM5",2,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,2
"91","AND",1965,"Abies_amabilis","CNCT_01ABAM5",5,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,5
"92","AND",1968,"Abies_amabilis","CNCT_01ABAM5",120,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,120
"93","AND",1971,"Abies_amabilis","CNCT_01ABAM5",17,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,17
"94","AND",1974,"Abies_amabilis","CNCT_01ABAM5",11,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,11
"95","AND",1976,"Abies_amabilis","CNCT_01ABAM5",3,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,3
"96","AND",1977,"Abies_amabilis","CNCT_01ABAM5",9,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,9
"97","AND",1978,"Abies_amabilis","CNCT_01ABAM5",16,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,16
"98","AND",1979,"Abies_amabilis","CNCT_01ABAM5",6,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,6
"99","AND",1980,"Abies_amabilis","CNCT_01ABAM5",7,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,7
"100","AND",1982,"Abies_amabilis","CNCT_01ABAM5",21,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,21
"101","AND",1985,"Abies_amabilis","CNCT_01ABAM5",48,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,48
"102","AND",1987,"Abies_amabilis","CNCT_01ABAM5",8,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,8
"103","AND",1988,"Abies_amabilis","CNCT_01ABAM5",18,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,18
"104","AND",1990,"Abies_amabilis","CNCT_01ABAM5",2,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,2
"105","AND",1991,"Abies_amabilis","CNCT_01ABAM5",47,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,47
"106","AND",1993,"Abies_amabilis","CNCT_01ABAM5",14,"PARTIALCONECOUNT",NA,NA,"Pinaceae","Abies","amabilis",2,"wind","EM","needleleaf","evergreen","late summer",46.20633539,"monoecious","tolerant","tree","no","no","abiotic",NA,14
